Name,Author,User Rating,Reviews,Price,Date,Genre
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.4,7550,6,5-4-18,Non Fiction
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,3828,15,8-1-09,Non Fiction
Life,Keith Richards,4.5,2752,18,2-10-10,Non Fiction
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2-10-10,Fiction
Little Blue Truck,Alice Schertle,4.9,1884,0,6-1-14,Fiction
Little Fires Everywhere,Celeste Ng,4.5,25706,12,5-4-18,Fiction
Looking for Alaska,John Green,4.5,8491,7,6-1-14,Fiction
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,1649,13,9-5-2011,Non Fiction
Love You Forever,Robert Munsch,4.8,18613,5,8-1-15,Fiction
Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,4.8,9867,16,5-4-18,Non Fiction
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,4.5,1386,20,6-1-14,Non Fiction
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,10199,11,1-1-17,Non Fiction
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,2926,27,8-1-09,Non Fiction
Milk and Honey,Rupi Kaur,4.7,17739,8,12-1-16,Non Fiction
Milk and Vine: Inspirational Quotes From Classic Vines,Adam Gasiewski,4.4,3113,6,1-1-17,Non Fiction
Mindset: The New Psychology of Success,Carol S. Dweck,4.6,5542,10,6-1-14,Non Fiction
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2-10-10,Fiction
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,5347,16,2-1-19,Non Fiction
National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books),Amy Shields,4.8,7866,11,2-1-19,Non Fiction
New Moon (The Twilight Saga),Stephenie Meyer,4.6,5680,10,8-1-09,Fiction
Night (Night),Elie Wiesel,4.7,5178,9,12-1-16,Non Fiction
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,14,10-10-12,Non Fiction
Obama: An Intimate Portrait,Pete Souza,4.9,3192,22,1-1-17,Non Fiction
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,8,10-10-12,Fiction
Old School (Diary of a Wimpy Kid #10),Jeff Kinney,4.8,6169,7,8-1-15,Fiction
Olive Kitteridge,Elizabeth Strout,4.2,4519,12,8-1-09,Fiction
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,13,10-10-12,Non Fiction
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,4.5,1831,9,1-1-17,Non Fiction
Origin: A Novel (Robert Langdon),Dan Brown,4.3,18904,13,1-1-17,Fiction
Orphan Train,Christina Baker Kline,4.6,21930,11,6-1-14,Fiction
Outliers: The Story of Success,Malcolm Gladwell,4.6,10426,20,2-10-10,Non Fiction
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,10820,5,2-1-19,Non Fiction
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,548,2,2-10-10,Fiction
Player's Handbook (Dungeons & Dragons),Wizards RPG Team,4.8,16990,27,2-1-19,Fiction
Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon,Scholastic,4.7,3503,9,12-1-16,Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,10-10-12,Non Fiction
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,10,7-10-13,Non Fiction
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,5-4-18,Non Fiction
Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,4.8,4757,4,1-1-17,Fiction
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,7,7-10-13,Non Fiction
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,1985,9,9-5-2011,Non Fiction
Ready Player One: A Novel,Ernest Cline,4.6,22536,12,5-4-18,Fiction
Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),Rush Limbaugh,4.9,3836,12,6-1-14,Fiction
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,7802,20,2-1-19,Non Fiction
Sarah's Key,Tatiana de Rosnay,4.6,3619,10,2-10-10,Fiction
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,4.8,23047,6,2-1-19,Non Fiction
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)",Johanna Basford,4.7,9366,9,8-1-15,Non Fiction
Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,4.8,3923,16,5-4-18,Non Fiction
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,2272,6,7-10-13,Non Fiction
Sookie Stackhouse,Charlaine Harris,4.7,973,25,8-1-09,Fiction
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,220,17,7-10-13,Non Fiction
Steve Jobs,Walter Isaacson,4.6,7827,20,10-10-12,Non Fiction
Strange Planet (Strange Planet Series),Nathan W. Pyle,4.9,9382,6,2-1-19,Fiction
StrengthsFinder 2.0,Gallup,4,5069,17,8-1-09,Non Fiction
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,1583,18,8-1-09,Non Fiction
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,1907,13,2-10-10,Non Fiction
Sycamore Row (Jake Brigance),John Grisham,4.5,23114,18,7-10-13,Fiction
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,9-5-2011,Non Fiction
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,2314,22,9-5-2011,Non Fiction
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,4587,21,9-5-2011,Non Fiction
The 5000 Year Leap,W. Cleon Skousen,4.8,1680,12,8-1-09,Non Fiction
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.7,4725,16,1-1-17,Non Fiction
The Alchemist,Paulo Coelho,4.7,35799,39,6-1-14,Fiction
The Amateur,Edward Klein,4.6,2580,9,10-10-12,Non Fiction
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2-10-10,Fiction
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,9-5-2011,Fiction
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,3536,17,2-10-10,Non Fiction
The Blood of Olympus (The Heroes of Olympus (5)),Rick Riordan,4.8,6600,11,6-1-14,Fiction
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,14,10-10-12,Non Fiction
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,4.8,12361,12,2-1-19,Non Fiction
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,858,53,8-1-09,Non Fiction
The Book Thief,Markus Zusak,4.6,23148,6,6-1-14,Fiction
The Book with No Pictures,B. J. Novak,4.8,8081,8,8-1-15,Fiction
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,4.8,23358,12,8-1-15,Non Fiction
The Casual Vacancy,J.K. Rowling,3.3,9372,12,10-10-12,Fiction
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,4633,21,9-5-2011,Non Fiction
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,4.3,13061,6,2-1-19,Non Fiction
The Confession: A Novel,John Grisham,4.3,3523,13,2-10-10,Fiction
