Name,Author,User Rating,Reviews,Price,Date,Genre
The Constitution of the United States,"Delegates of the Constitutional",4.8,2774,0,12-1-16,Non Fiction
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2-10-10,Non Fiction
The Day the Crayons Quit,Drew Daywalt,4.8,8922,9,8-1-15,Fiction
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,2023,15,9-5-2011,Non Fiction
The Elegance of the Hedgehog,Muriel Barbery,4,1859,11,8-1-09,Fiction
The Fault in Our Stars,John Green,4.7,50482,13,6-1-14,Fiction
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,6,8-1-09,Non Fiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,803,9,8-1-09,Non Fiction
The Getaway,Jeff Kinney,4.8,5836,0,1-1-17,Fiction
The Girl on the Train,Paula Hawkins,4.1,79446,18,8-1-15,Fiction
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2-10-10,Fiction
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,7251,9,2-10-10,Fiction
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,7251,16,8-1-09,Fiction
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2-10-10,Fiction
The Going-To-Bed Book,Sandra Boynton,4.8,5249,5,1-1-17,Fiction
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,3.9,33844,20,6-1-14,Fiction
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,7,6-1-14,Fiction
The Guardians: A Novel,John Grisham,4.5,13609,14,2-1-19,Fiction
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,8587,10,8-1-09,Fiction
The Handmaid's Tale,Margaret Atwood,4.3,29442,7,1-1-17,Fiction
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,13,10-10-12,Fiction
The Hate U Give,Angie Thomas,4.8,9947,11,5-4-18,Fiction
The Help,Kathryn Stockett,4.8,13871,7,9-5-2011,Fiction
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,4.8,6982,14,7-10-13,Fiction
The Hunger Games,Suzanne Collins,4.7,32122,14,2-10-10,Fiction
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,10-10-12,Fiction
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,10-10-12,Fiction
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,10-10-12,Non Fiction
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,4.3,7368,7,5-4-18,Non Fiction
The Last Lecture,Randy Pausch,4.7,4028,9,8-1-09,Non Fiction
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,4628,7,2-10-10,Fiction
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,4.9,5396,20,7-10-13,Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,9-5-2011,Non Fiction
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,13,10-10-12,Non Fiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,4.5,22641,11,2-1-19,Non Fiction
The Litigators,John Grisham,4.4,6222,18,9-5-2011,Fiction
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,4506,14,2-10-10,Fiction
The Lost Symbol,Dan Brown,4.2,8747,19,8-1-09,Fiction
The Love Dare,Stephen Kendrick,4.8,1655,13,8-1-09,Non Fiction
The Magnolia Story,Chip Gaines,4.9,7861,5,12-1-16,Non Fiction
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,10,10-10-12,Fiction
The Martian,Andy Weir,4.7,39459,9,8-1-15,Fiction
The Maze Runner (Book 1),James Dashner,4.5,10101,8,6-1-14,Fiction
The Meltdown (Diary of a Wimpy Kid Book 13),Jeff Kinney,4.8,5898,8,5-4-18,Fiction
The Mueller Report,The Washington Post,4.6,2744,12,2-1-19,Non Fiction
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,8-1-15,Fiction
The Nightingale: A Novel,Kristin Hannah,4.8,49288,11,12-1-16,Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,2-10-10,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,9-5-2011,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,10-10-12,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,7-10-13,Non Fiction
The Official SAT Study Guide,The College Board,4.4,1201,40,6-1-14,Non Fiction
"The Official SAT Study Guide, 12-01-2016 Edition (Official Study Guide for the New Sat)",The College Board,4.3,807,36,12-1-16,Non Fiction
The Paris Wife: A Novel,Paula McLain,4.3,3759,16,9-5-2011,Fiction
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,4.8,2663,17,7-10-13,Non Fiction
"The Pioneer Woman Cooks: Dinnertime - Comfort Classics, Freezer Food, 16-minute Meals, and Other Delicious Ways to Solve…",Ree Drummond,4.8,3428,14,8-1-15,Non Fiction
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,21,10-10-12,Non Fiction
"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",Dr. Steven R Gundry MD,4.5,3601,18,5-4-18,Non Fiction
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,4.4,7058,17,5-4-18,Non Fiction
The Pout-Pout Fish,Deborah Diesen,4.8,9784,5,5-4-18,Fiction
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,21,10-10-12,Non Fiction
The President Is Missing: A Novel,James Patterson,4.3,10191,18,5-4-18,Fiction
The Racketeer,John Grisham,4.3,14493,18,10-10-12,Fiction
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,2186,12,2-10-10,Fiction
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,1204,14,2-10-10,Non Fiction
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,12,10-10-12,Fiction
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,8-1-09,Fiction
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,19720,8,1-1-17,Fiction
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,2122,0,2-10-10,Fiction
The Silent Patient,Alex Michaelides,4.5,27536,14,2-1-19,Fiction
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,9-5-2011,Fiction
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,26490,15,2-1-19,Non Fiction
The Sun and Her Flowers,Rupi Kaur,4.7,5487,9,1-1-17,Non Fiction
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,7,10-10-12,Fiction
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,1463,10,9-5-2011,Fiction
The Time Traveler's Wife,Audrey Niffenegger,4.4,3759,6,8-1-09,Fiction
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,3503,9,8-1-09,Non Fiction
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,11550,10,2-1-19,Non Fiction
The Twilight Saga Collection,Stephenie Meyer,4.7,3801,82,8-1-09,Fiction
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,3796,12,2-10-10,Fiction
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for…,Dinah Bucholz,4.7,9030,10,2-1-19,Non Fiction
The Very Hungry Caterpillar,Eric Carle,4.9,19546,5,2-1-19,Fiction
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,4.6,7508,16,1-1-17,Non Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,8842,10,2-1-19,Fiction
The Wonky Donkey,Craig Smith,4.8,30183,4,2-1-19,Fiction
The Wright Brothers,David McCullough,4.7,6169,16,8-1-15,Non Fiction
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,4.7,7034,15,7-10-13,Non Fiction
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,19,10-10-12,Non Fiction
Thirteen Reasons Why,Jay Asher,4.5,7932,9,1-1-17,Fiction
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,23,10-10-12,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,8-1-09,Non Fiction
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2-10-10,Non Fiction
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,4.6,11128,23,1-1-17,Non Fiction
Tina Fey: Bossypants,Tina Fey,4.3,5977,12,9-5-2011,Non Fiction
To Kill a Mockingbird,Harper Lee,4.8,26234,7,2-1-19,Fiction
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,4.6,4360,21,1-1-17,Non Fiction
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,2282,21,2-10-10,Fiction
True Compass: A Memoir,Edward M. Kennedy,4.5,438,15,8-1-09,Non Fiction
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,11676,9,8-1-09,Fiction
Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,DK,4.5,2586,5,6-1-14,Fiction
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,6-1-14,Non Fiction
Under the Dome: A Novel,Stephen King,4.3,6740,20,8-1-09,Fiction
Unfreedom of the Press,Mark R. Levin,4.9,5956,11,2-1-19,Non Fiction
Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,4.8,6108,4,2-1-19,Non Fiction
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,4.7,4585,9,12-1-16,Non Fiction
Watchmen,Alan Moore,4.8,3829,42,8-1-09,Fiction
Water for Elephants: A Novel,Sara Gruen,4.5,8958,12,9-5-2011,Fiction
What Happened,Hillary Rodham Clinton,4.6,5492,18,1-1-17,Non Fiction
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,4.7,9292,17,6-1-14,Non Fiction
What Pet Should I Get? (Classic Seuss),Dr. Seuss,4.7,1873,14,8-1-15,Fiction
What Should Danny Do? (The Power to Choose Series),Adir Levy,4.8,8170,13,2-1-19,Fiction
What to Expect When You're Expecting,Heidi Murkoff,4.4,3341,9,9-5-2011,Non Fiction
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,10-10-12,Non Fiction
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,6,7-10-13,Non Fiction
When Breath Becomes Air,Paul Kalanithi,4.8,13779,14,12-1-16,Non Fiction
Where the Crawdads Sing,Delia Owens,4.8,87841,15,2-1-19,Fiction
Where the Wild Things Are,Maurice Sendak,4.8,9967,13,8-1-09,Fiction
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,"The Staff of The Late Show with",4.6,6669,12,5-4-18,Non Fiction
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,18,10-10-12,Non Fiction
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,15,10-10-12,Fiction
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2-10-10,Non Fiction
Wonder,R. J. Palacio,4.8,21625,9,1-1-17,Fiction
Wrecking Ball (Diary of a Wimpy Kid Book 14),Jeff Kinney,4.9,9413,8,2-1-19,Fiction
