Series_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Gross
The Purple Rose of Cairo,1985,U,82 min,"Comedy, Fantasy, Romance",7.7,10631333
After Hours,1985,UA,97 min,"Comedy, Crime, Drama",7.7,10600000
Zelig,1983,PG,79 min,Comedy,7.7,11798616
The Verdict,1982,U,129 min,Drama,7.7,54000000
Star Trek II: The Wrath of Khan,1982,U,113 min,"Action, Adventure, Sci-Fi",7.7,78912963
First Blood,1982,A,93 min,"Action, Adventure",7.7,47212904
Ordinary People,1980,U,124 min,Drama,7.7,54800000
Airplane!,1980,U,88 min,Comedy,7.7,83400000
Rupan sansei: Kariosutoro no shiro,1979,U,100 min,"Animation, Adventure, Family",7.7,
Halloween,1978,A,91 min,"Horror, Thriller",7.7,47000000
Le locataire,1976,R,126 min,"Drama, Thriller",7.7,1924733
Love and Death,1975,PG,85 min,"Comedy, War",7.7,
The Taking of Pelham One Two Three,1974,U,104 min,"Action, Crime, Thriller",7.7,
Blazing Saddles,1974,A,93 min,"Comedy, Western",7.7,119500000
Serpico,1973,A,130 min,"Biography, Crime, Drama",7.7,29800000
Enter the Dragon,1973,A,102 min,"Action, Crime, Drama",7.7,25000000
Deliverance,1972,U,109 min,"Adventure, Drama, Thriller",7.7,7056013
The French Connection,1971,A,104 min,"Action, Crime, Drama",7.7,15630710
Dirty Harry,1971,A,102 min,"Action, Crime, Thriller",7.7,35900000
Where Eagles Dare,1968,U,158 min,"Action, Adventure, War",7.7,
The Odd Couple,1968,G,105 min,Comedy,7.7,44527234
The Dirty Dozen,1967,,150 min,"Action, Adventure, War",7.7,45300000
Belle de jour,1967,A,100 min,"Drama, Romance",7.7,26331
A Man for All Seasons,1966,U,120 min,"Biography, Drama, History",7.7,28350000
Repulsion,1965,,105 min,"Drama, Horror, Thriller",7.7,
Zulu,1964,U,138 min,"Drama, History, War",7.7,
Goldfinger,1964,A,110 min,"Action, Adventure, Thriller",7.7,51081062
The Birds,1963,A,119 min,"Drama, Horror, Mystery",7.7,11403529
Cape Fear,1962,Passed,106 min,"Drama, Thriller",7.7,
Peeping Tom,1960,,101 min,"Drama, Horror, Thriller",7.7,83957
The Magnificent Seven,1960,Approved,128 min,"Action, Adventure, Western",7.7,4905000
Les yeux sans visage,1960,,90 min,"Drama, Horror",7.7,52709
Invasion of the Body Snatchers,1956,Approved,80 min,"Drama, Horror, Sci-Fi",7.7,
Rebel Without a Cause,1955,PG-13,111 min,Drama,7.7,
The Ladykillers,1955,,91 min,"Comedy, Crime",7.7,
Sabrina,1954,Passed,113 min,"Comedy, Drama, Romance",7.7,
The Quiet Man,1952,Passed,129 min,"Comedy, Drama, Romance",7.7,10550000
The Day the Earth Stood Still,1951,U,92 min,"Drama, Sci-Fi",7.7,
The African Queen,1951,PG,105 min,"Adventure, Drama, Romance",7.7,536118
Gilda,1946,Approved,110 min,"Drama, Film-Noir, Romance",7.7,
Fantasia,1940,G,125 min,"Animation, Family, Fantasy",7.7,76408097
The Invisible Man,1933,TV-PG,71 min,"Horror, Sci-Fi",7.7,
Dark Waters,2019,PG-13,126 min,"Biography, Drama, History",7.6,
Searching,2018,U/A,102 min,"Drama, Mystery, Thriller",7.6,26020957
Once Upon a Time... in Hollywood,2019,A,161 min,"Comedy, Drama",7.6,142502728
